tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
2014--brazil,,,Brazil v Croatia,),3,1,"Arena de São Paulo, São Paulo (UTC-3)",Brazil v Croatia
2014--brazil,,,Mexico v Cameroon,),1,0,"Estádio das Dunas, Natal (UTC-3)",Mexico v Cameroon
2014--brazil,,,Spain v Netherlands,),1,5,"Arena Fonte Nova, Salvador (UTC-3)",)
2014--brazil,,,Chile v Australia,),3,1,"Arena Pantanal, Cuiabá (UTC-4)",Chile v Australia
2014--brazil,,2014-06-14,Uruguay,Costa Rica,1,3,"Estádio Castelão, Fortaleza (UTC-3)",Costa Rica
2014--brazil,,2014-06-14,England,Italy,1,2,"Arena Amazônia, Manaus (UTC-4)",Italy
2014--brazil,,2014-06-19,Uruguay,England,2,1,"Arena de São Paulo, São Paulo (UTC-3)",Uruguay
2014--brazil,,2014-06-20,Italy,Costa Rica,0,1,"Arena Pernambuco, Recife (UTC-3)",Costa Rica
2014--brazil,,2014-06-24,Italy,Uruguay,0,1,"Estádio das Dunas, Natal (UTC-3)",Uruguay
2014--brazil,,2014-06-24,Costa Rica,England,0,0,"Estádio Mineirão, Belo Horizonte (UTC-3)",Draw
2014--brazil,,2014-06-15,Switzerland,Ecuador,2,1,"Estádio Nacional Mané Garrincha, Brasília (UTC-3)",Switzerland
2014--brazil,,2014-06-15,France,Honduras,3,0,"Estádio Beira-Rio, Porto Alegre (UTC-3)",France
2014--brazil,,2014-06-20,Switzerland,France,2,5,"Arena Fonte Nova, Salvador (UTC-3)",France
2014--brazil,,2014-06-20,Honduras,Ecuador,1,2,"Arena da Baixada, Curitiba (UTC-3)",Ecuador
2014--brazil,,2014-06-25,Honduras,Switzerland,0,3,"Arena Amazônia, Manaus (UTC-4)",Switzerland
2014--brazil,,2014-06-25,Ecuador,France,0,0,"Estádio do Maracanã, Rio de Janeiro (UTC-3)",Draw
2014--brazil,,2014-06-15,Argentina,Bosnia-Herzegovina,2,1,"Estádio do Maracanã, Rio de Janeiro (UTC-3)",Argentina
2014--brazil,,2014-06-16,Iran,Nigeria,0,0,"Arena da Baixada, Curitiba (UTC-3)",Draw
2014--brazil,,2014-06-21,Argentina,Iran,1,0,"Estádio Mineirão, Belo Horizonte (UTC-3)",Argentina
2014--brazil,,2014-06-21,Nigeria,Bosnia-Herzegovina,1,0,"Arena Pantanal, Cuiabá (UTC-4)",Nigeria
2014--brazil,,2014-06-25,Nigeria,Argentina,2,3,"Estádio Beira-Rio, Porto Alegre (UTC-3)",Argentina
2014--brazil,,2014-06-25,Bosnia-Herzegovina,Iran,3,1,"Arena Fonte Nova, Salvador (UTC-3)",Bosnia-Herzegovina
2014--brazil,,2014-06-16,Germany,Portugal,4,0,"Arena Fonte Nova, Salvador (UTC-3)",Germany
2014--brazil,,2014-06-16,Ghana,USA,1,2,"Estádio das Dunas, Natal (UTC-3)",USA
2014--brazil,,2014-06-21,Germany,Ghana,2,2,"Estádio Castelão, Fortaleza (UTC-3)",Draw
2014--brazil,,2014-06-22,USA,Portugal,2,2,"Arena Amazônia, Manaus (UTC-4)",Draw
2014--brazil,,2014-06-26,USA,Germany,0,1,"Arena Pernambuco, Recife (UTC-3)",Germany
2014--brazil,,2014-06-26,Portugal,Ghana,2,1,"Estádio Nacional Mané Garrincha, Brasília (UTC-3)",Portugal
