tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff
1930--uruguay,Group 1,1930-07-13,France,Mexico,4,1,"Estadio Pocitos, Montevideo",France,1500.0,1500.0,1530.0,1470.0,0.0
1930--uruguay,Group 1,1930-07-15,Argentina,France,1,0,"Estadio Parque Central, Montevideo",Argentina,1500.0,1530.0,1518.85,1511.15,-30.0
1930--uruguay,Group 1,1930-07-16,Chile,Mexico,3,0,"Estadio Parque Central, Montevideo",Chile,1500.0,1470.0,1527.08,1442.92,30.0
1930--uruguay,Group 1,1930-07-19,Chile,France,1,0,"Estadio Centenario, Montevideo",Chile,1527.08,1511.15,1543.33,1494.9,15.93
1930--uruguay,Group 1,1930-07-19,Argentina,Mexico,6,3,"Estadio Centenario, Montevideo",Argentina,1518.85,1442.92,1541.69,1420.08,75.93
1930--uruguay,Group 1,1930-07-22,Argentina,Chile,3,1,"Estadio Centenario, Montevideo",Argentina,1541.69,1543.33,1567.54,1517.48,-1.64
1930--uruguay,Group 2,1930-07-14,Yugoslavia,Brazil,2,1,"Estadio Parque Central, Montevideo",Yugoslavia,1500.0,1500.0,1517.14,1482.86,0.0
1930--uruguay,Group 2,1930-07-17,Yugoslavia,Bolivia,4,0,"Estadio Parque Central, Montevideo",Yugoslavia,1517.14,1500.0,1547.48,1469.66,17.14
1930--uruguay,Group 2,1930-07-20,Brazil,Bolivia,4,0,"Estadio Centenario, Montevideo",Brazil,1482.86,1469.66,1513.61,1438.91,13.2
1930--uruguay,Group 3,1930-07-14,Romania,Peru,3,1,"Estadio Pocitos, Montevideo",Romania,1500.0,1500.0,1525.71,1474.29,0.0
1930--uruguay,Group 3,1930-07-18,Uruguay,Peru,1,0,"Estadio Centenario, Montevideo",Uruguay,1500.0,1474.29,1515.71,1458.58,25.71
1930--uruguay,Group 3,1930-07-21,Uruguay,Romania,4,0,"Estadio Centenario, Montevideo",Uruguay,1515.71,1525.71,1548.91,1492.51,-10.0
1930--uruguay,Group 4,1930-07-13,United States,Belgium,3,0,"Estadio Parque Central, Montevideo",United States,1500.0,1500.0,1530.0,1470.0,0.0
1930--uruguay,Group 4,1930-07-17,United States,Paraguay,3,0,"Estadio Parque Central, Montevideo",United States,1530.0,1500.0,1557.08,1472.92,30.0
1930--uruguay,Group 4,1930-07-20,Paraguay,Belgium,1,0,"Estadio Centenario, Montevideo",Paraguay,1472.92,1470.0,1489.9,1453.02,2.92
1930--uruguay,Semi-finals,1930-07-26,Argentina,United States,6,1,"Estadio Centenario, Montevideo",Argentina,1567.54,1557.08,1617.2,1507.42,10.46
1930--uruguay,Semi-finals,1930-07-27,Uruguay,Yugoslavia,6,1,"Estadio Centenario, Montevideo",Uruguay,1548.91,1547.48,1600.09,1496.3,1.43
1930--uruguay,Final,1930-07-30,Uruguay,Argentina,4,2,"Estadio Centenario, Montevideo",Uruguay,1600.09,1617.2,1640.84,1576.45,-17.11
1934--italy,Preliminary round,1934-05-27,Sweden,Argentina,3,2,"Stadio Littoriale, Bologna",Sweden,1500.0,1576.45,1521.52,1554.93,-76.45
1934--italy,Preliminary round,1934-05-27,Austria,France,3,2,"Stadio Benito Mussolini, Turin",Austria,1500.0,1494.9,1516.85,1478.05,5.1
1934--italy,Preliminary round,1934-05-27,Germany,Belgium,5,2,"Stadio Giovanni Berta, Florence",Germany,1500.0,1453.02,1525.48,1427.54,46.98
1934--italy,Preliminary round,1934-05-27,Spain,Brazil,3,1,"Stadio Luigi Ferraris, Genoa",Spain,1500.0,1513.61,1526.87,1486.74,-13.61
1934--italy,Preliminary round,1934-05-27,Hungary,Egypt,4,2,"Stadio Giorgio Ascarelli, Naples",Hungary,1500.0,1500.0,1525.71,1474.29,0.0
1934--italy,Preliminary round,1934-05-27,Switzerland,Netherlands,3,2,"Stadio San Siro, Milan",Switzerland,1500.0,1500.0,1517.14,1482.86,0.0
1934--italy,Preliminary round,1934-05-27,Italy,United States,7,1,"Stadio Nazionale PNF, Rome",Italy,1500.0,1507.42,1537.32,1470.1,-7.42
1934--italy,Preliminary round,1934-05-27,Czechoslovakia,Romania,2,1,"Stadio Littorio, Trieste",Czechoslovakia,1500.0,1492.51,1516.72,1475.79,7.49
1934--italy,Quarter-finals,1934-05-31,Czechoslovakia,Switzerland,3,2,"Stadio Benito Mussolini, Turin",Czechoslovakia,1516.72,1517.14,1542.47,1491.39,-0.42
1934--italy,Quarter-finals,1934-05-31,Germany,Sweden,2,1,"Stadio San Siro, Milan",Germany,1525.48,1521.52,1550.86,1496.14,3.96
1934--italy,Quarter-finals,1934-05-31,Italy,Spain,1,1,"Stadio Giovanni Berta, Florence",Draw,1537.32,1526.87,1532.15,1532.04,10.45
1934--italy,Quarter-finals,1934-05-31,Austria,Hungary,2,1,"Stadio Littoriale, Bologna",Austria,1516.85,1525.71,1543.31,1499.25,-8.86
1934--italy,"Quarter-finals, Replays",1934-06-01,Italy,Spain,1,0,"Stadio Giovanni Berta, Florence",Italy,1532.15,1532.04,1549.29,1514.9,0.11
1934--italy,Semi-finals,1934-06-03,Italy,Austria,1,0,"Stadio San Siro, Milan",Italy,1549.29,1543.31,1574.5,1518.1,5.98
1934--italy,Semi-finals,1934-06-03,Czechoslovakia,Germany,3,1,"Stadio Nazionale PNF, Rome",Czechoslovakia,1542.47,1550.86,1582.11,1511.22,-8.39
1934--italy,Third-place match,1934-06-07,Germany,Austria,3,2,"Stadio Giorgio Ascarelli, Naples",Germany,1511.22,1518.1,1537.52,1491.8,-6.88
1934--italy,Final,1934-06-10,Italy,Czechoslovakia,2,1,"Stadio Nazionale PNF, Rome",Italy,1574.5,1582.11,1600.86,1555.75,-7.61
1938--france,First round,1938-06-04,Switzerland,Germany,1,1,"Parc des Princes, Paris",Draw,1491.39,1537.52,1491.17,1537.74,-46.13
1938--france,First round,1938-06-05,Hungary,Dutch East Indies,6,0,"Vélodrome Municipal, Reims",Hungary,1499.25,1500.0,1535.77,1463.48,-0.75
1938--france,First round,1938-06-05,France,Belgium,3,1,"Stade Olympique de Colombes, Paris",France,1478.05,1427.54,1499.61,1405.98,50.51
1938--france,First round,1938-06-05,Cuba,Romania,3,3,"Stade Chapou, Toulouse",Draw,1500.0,1475.79,1495.79,1480.0,24.21
1938--france,First round,1938-06-05,Italy,Norway,2,1,"Stade Vélodrome, Marseille",Italy,1600.86,1500.0,1612.68,1488.18,100.86
1938--france,First round,1938-06-05,Brazil,Poland,6,5,"Stade de la Meinau, Strasbourg",Brazil,1486.74,1500.0,1504.63,1482.11,-13.26
1938--france,First round,1938-06-05,Czechoslovakia,Netherlands,3,0,"Stade municipal, Le Havre",Czechoslovakia,1555.75,1482.86,1578.86,1459.75,72.89
1938--france,"First round, Replays",1938-06-09,Cuba,Romania,2,1,"Stade Chapou, Toulouse",Cuba,1495.79,1480.0,1512.05,1463.74,15.79
1938--france,"First round, Replays",1938-06-09,Germany,Switzerland,2,4,"Parc des Princes, Paris",Switzerland,1537.74,1491.17,1499.61,1529.3,46.57
1938--france,Quarter-finals,1938-06-12,Brazil,Czechoslovakia,1,1,"Parc Lescure, Bordeaux",Draw,1504.63,1578.86,1506.72,1576.77,-74.23
1938--france,Quarter-finals,1938-06-12,Switzerland,Hungary,0,2,"Stade Victor Boucquey, Lille",Hungary,1529.3,1535.77,1478.69,1586.38,-6.47
1938--france,Quarter-finals,1938-06-12,Sweden,Cuba,8,0,"Stade du Fort Carré, Antibes",Sweden,1496.14,1512.05,1560.42,1447.77,-15.91
1938--france,Quarter-finals,1938-06-12,France,Italy,1,3,"Stade Olympique de Colombes, Paris",Italy,1499.61,1612.68,1462.69,1649.6,-113.07
1938--france,"Quarter-finals, Replays",1938-06-14,Brazil,Czechoslovakia,2,1,"Parc Lescure, Bordeaux",Brazil,1506.72,1576.77,1527.87,1555.62,-70.05
1938--france,Semi-finals,1938-06-16,Hungary,Sweden,5,1,"Parc des Princes, Paris",Hungary,1586.38,1560.42,1630.52,1516.28,25.96
1938--france,Semi-finals,1938-06-16,Italy,Brazil,2,1,"Stade Vélodrome, Marseille",Italy,1649.6,1527.87,1665.87,1511.6,121.73
1938--france,Match for third place,1938-06-19,Sweden,Brazil,2,4,"Parc Lescure, Bordeaux",Brazil,1516.28,1511.6,1481.6,1546.28,4.68
1938--france,Final,1938-06-19,Hungary,Italy,2,4,"Stade Olympique de Colombes, Paris",Italy,1630.52,1665.87,1583.62,1712.77,-35.35
1950--brazil,Group 1,1950-06-24,Brazil,Mexico,4,0,"Estádio do Maracanã, Rio de Janeiro",Brazil,1546.28,1420.08,1566.24,1400.12,126.2
1950--brazil,Group 1,1950-06-25,Yugoslavia,Switzerland,3,0,"Estádio Independência, Belo Horizonte",Yugoslavia,1496.3,1478.69,1524.57,1450.42,17.61
1950--brazil,Group 1,1950-06-28,Brazil,Switzerland,2,2,"Estádio do Pacaembu, São Paulo",Draw,1566.24,1450.42,1557.36,1459.3,115.82
1950--brazil,Group 1,1950-06-28,Yugoslavia,Mexico,4,1,"Estádio dos Eucaliptos, Porto Alegre",Yugoslavia,1524.57,1400.12,1543.34,1381.35,124.45
1950--brazil,Group 1,1950-07-01,Brazil,Yugoslavia,2,0,"Estádio do Maracanã, Rio de Janeiro",Brazil,1557.36,1543.34,1581.89,1518.81,14.02
1950--brazil,Group 1,1950-07-02,Switzerland,Mexico,2,1,"Estádio dos Eucaliptos, Porto Alegre",Switzerland,1459.3,1381.35,1472.25,1368.4,77.95
1950--brazil,Group 2,1950-06-25,England,Chile,2,0,"Estádio do Maracanã, Rio de Janeiro",England,1500.0,1517.48,1527.2,1490.28,-17.48
1950--brazil,Group 2,1950-06-25,Spain,United States,3,1,"Estádio Durival de Britto, Curitiba",Spain,1514.9,1470.1,1536.91,1448.09,44.8
1950--brazil,Group 2,1950-06-29,Spain,Chile,2,0,"Estádio do Maracanã, Rio de Janeiro",Spain,1536.91,1490.28,1558.77,1468.42,46.63
1950--brazil,Group 2,1950-06-29,United States,England,1,0,"Estádio Independência, Belo Horizonte",United States,1448.09,1527.2,1469.76,1505.53,-79.11
1950--brazil,Group 2,1950-07-02,Spain,England,1,0,"Estádio do Maracanã, Rio de Janeiro",Spain,1558.77,1505.53,1573.0,1491.3,53.24
1950--brazil,Group 2,1950-07-02,Chile,United States,5,2,"Estádio Ilha do Retiro, Recife",Chile,1468.42,1469.76,1498.55,1439.63,-1.34
1950--brazil,Group 3,1950-06-25,Sweden,Italy,3,2,"Estádio do Pacaembu, São Paulo",Sweden,1481.6,1712.77,1511.18,1683.19,-231.17
1950--brazil,Group 3,1950-06-29,Sweden,Paraguay,2,2,"Estádio Durival Britto, Curitiba",Draw,1511.18,1489.9,1507.13,1493.95,21.28
1950--brazil,Group 3,1950-07-02,Italy,Paraguay,2,0,"Estádio do Pacaembu, São Paulo",Italy,1683.19,1493.95,1695.28,1481.86,189.24
1950--brazil,Group 4,1950-07-02,Uruguay,Bolivia,8,0,"Estádio Independência, Belo Horizonte",Uruguay,1640.84,1438.91,1658.89,1420.86,201.93
1950--brazil,Final Round,1950-07-09,Uruguay,Spain,2,2,"Estádio do Pacaembu, São Paulo",Draw,1658.89,1573.0,1651.44,1580.45,85.89
1950--brazil,Final Round,1950-07-09,Brazil,Sweden,7,1,"Estádio do Maracanã, Rio de Janeiro",Brazil,1581.89,1507.13,1609.75,1479.27,74.76
1950--brazil,Final Round,1950-07-13,Brazil,Spain,6,1,"Estádio do Maracanã, Rio de Janeiro",Brazil,1609.75,1580.45,1640.78,1549.42,29.3
1950--brazil,Final Round,1950-07-13,Uruguay,Sweden,3,2,"Estádio do Pacaembu, São Paulo",Uruguay,1651.44,1479.27,1660.15,1470.56,172.17
1950--brazil,Final Round,1950-07-16,Sweden,Spain,3,1,"Estádio do Pacaembu, São Paulo",Sweden,1470.56,1549.42,1503.05,1516.93,-78.86
1950--brazil,Final Round,1950-07-16,Uruguay,Brazil,2,1,"Estádio do Maracanã, Rio de Janeiro",Uruguay,1660.15,1640.78,1676.21,1624.72,19.37
1954--switzerland,Group 1,1954-06-16,Brazil,Mexico,5,0,"Charmilles Stadium, Geneva",Brazil,1624.72,1368.4,1636.43,1356.69,256.32
